"id","name","code","executive","employee","worker"
occupation_type_employee_121001,"Director De Empresas, De Agricultura, Caza, Silvicultura Y",121001,True,True,False,
occupation_type_employee_121002,"Director Ejecutivo, Empresa, Agricultura, Caza, Silvicultur",121002,True,True,False,
occupation_type_employee_121003,"Director General, Empresa/Agricultura",121003,True,True,False,
occupation_type_employee_121004,"Director General, Empresa/Caza",121004,True,True,False,
occupation_type_employee_121005,"Director General, Empresa/Explotacion: Agricola, Forestal Y",121005,True,True,False,
occupation_type_employee_121006,"Director General, Empresa/Pesca",121006,True,True,False,
occupation_type_employee_121007,"Director General, Empresa/Silvicultura",121007,True,True,False,
occupation_type_employee_121008,"Director General, Organizacion/ Caza",121008,True,True,False,
occupation_type_employee_121009,"Director General, Organizacion/Pesca",121009,True,True,False,
occupation_type_employee_121010,"Director General, Organizacion/Silvicultura",121010,True,True,False,
occupation_type_employee_121011,"Gerente General, Empresa/Agricultura",121011,True,True,False,
occupation_type_employee_121012,"Gerente General, Empresa/Caza",121012,True,True,False,
occupation_type_employee_121013,"Gerente General, Empresa/Pesca",121013,True,True,False,
occupation_type_employee_121014,"Gerente General, Empresa/Silvicultura",121014,True,True,False,
occupation_type_employee_121015,"Gerente General, Organizacion/Caza",121015,True,True,False,
occupation_type_employee_121016,"Gerente General, Organizacion/Pesca",121016,True,True,False,
occupation_type_employee_121017,"Gerente General, Organizacion/Silvicultura",121017,True,True,False,
occupation_type_employee_121020,"Presidente Del Directorio, Agricultura, Caza, Silvicultura",121020,True,True,False,
occupation_type_employee_122001,"Director De Empresas, De Industrias Manufactureras, Minas Y",122001,True,True,False,
occupation_type_employee_122002,"Director Ejecutivo, Empresa, Industria Manufacturera, Minas",122002,True,True,False,
occupation_type_employee_122003,"Director General, Empresa/Industria Manufacturera",122003,True,True,False,
occupation_type_employee_122004,"Director General, Empresa/Suministro De Electricidad, Gas Y",122004,True,True,False,
occupation_type_employee_122005,"Gerente General, Empresa/Industria Manufacturera",122005,True,True,False,
occupation_type_employee_122006,"Gerente General, Empresa/Suministro De Electricidad, Gas Y",122006,True,True,False,
occupation_type_employee_122008,"Presidente Del Directorio, Industrias Manufactureras, Minas",122008,True,True,False,
occupation_type_employee_123001,"Director De Empresas, De Construccion Y Obras Publicas",123001,True,True,False,
occupation_type_employee_123002,"Director Ejecutivo, Empresa, De Construccion Y Obras Public",123002,True,True,False,
occupation_type_employee_123003,"Director General, Empresa/Construccion Y Obras Publicas",123003,True,True,False,
occupation_type_employee_123004,"Gerente General, Empresa/Construccion Y Obras Publicas",123004,True,True,False,
occupation_type_employee_123006,"Presidente Del Directorio, Contruccion Y Obras Publicas",123006,True,True,False,
occupation_type_employee_124001,"Director De Empresas, De Comercio Mayorista Y Minorista, Re",124001,True,True,False,
occupation_type_employee_124002,"Director Ejecutivo, Empresa, De Comercio Mayorista Y Minori",124002,True,True,False,
occupation_type_employee_124003,"Director General, Empresa/Comercio Mayorista",124003,True,True,False,
occupation_type_employee_124004,"Director General, Empresa/Comercio Minorista",124004,True,True,False,
occupation_type_employee_124005,"Director General, Organizacion/Comercio Mayorista",124005,True,True,False,
occupation_type_employee_124006,"Director General, Organizacion/Comercio Minorista",124006,True,True,False,
occupation_type_employee_124007,"Director General, Reparacion/Vehiculos, Automotores, Etc.",124007,True,True,False,
occupation_type_employee_124008,"Gerente General, Empresa/Comercio Mayorista",124008,True,True,False,
occupation_type_employee_124009,"Gerente General, Empresa/Comercio Minorista",124009,True,True,False,
occupation_type_employee_124010,"Gerente Organizacion, Empresa/Comercio Mayorista",124010,True,True,False,
occupation_type_employee_124011,"Gerente Organizacion, Empresa/Comercio Minorista",124011,True,True,False,
occupation_type_employee_124013,"Presidente Del Directorio, Comercio Mayorista Y Minorista,",124013,True,True,False,
occupation_type_employee_125001,"Director De Empresas, De Restaurantes Y Hoteleria",125001,True,True,False,
occupation_type_employee_125002,"Director Ejecutivo, Empresa, De Restaurantes Y Hoteleria",125002,True,True,False,
occupation_type_employee_125003,"Director General, Empresa/Hoteleria",125003,True,True,False,
occupation_type_employee_125004,"Director General, Empresa/Restaurante",125004,True,True,False,
occupation_type_employee_125005,"Director General, Organizacion/Hoteleria",125005,True,True,False,
occupation_type_employee_125006,"Director General, Organizacion/Restaurante",125006,True,True,False,
occupation_type_employee_125007,"Gerente General, Empresa/Hoteleria",125007,True,True,False,
occupation_type_employee_125008,"Gerente General, Empresa/Restaurante",125008,True,True,False,
occupation_type_employee_125009,"Gerente General, Organizacion/Hoteleria",125009,True,True,False,
occupation_type_employee_125010,"Gerente General, Organizacion/Restaurantes",125010,True,True,False,
occupation_type_employee_125012,"Presidente Del Directorio, Restaurantes Y Hoteleria",125012,True,True,False,
occupation_type_employee_126001,"Director De Empresas, De Transporte, Almacenamiento Y Comun",126001,True,True,False,
occupation_type_employee_126002,"Director Ejecutivo, Empresa, De Transporte, Almacenamiento",126002,True,True,False,
occupation_type_employee_126003,"Director General, Empresa/Almacenamiento",126003,True,True,False,
occupation_type_employee_126004,"Director General, Empresa/Comunicaciones",126004,True,True,False,
occupation_type_employee_126005,"Director General, Empresa/Transporte",126005,True,True,False,
occupation_type_employee_126006,"Director General, Organizacion/Transporte",126006,True,True,False,
occupation_type_employee_126007,"Gerente General, Empresa/Almacenamiento",126007,True,True,False,
occupation_type_employee_126008,"Gerente General, Empresa/Comunicaciones",126008,True,True,False,
occupation_type_employee_126009,"Gerente General, Empresa/Transporte",126009,True,True,False,
occupation_type_employee_126010,"Gerente General, Organizacion/Transporte",126010,True,True,False,
occupation_type_employee_126012,"Presidente Del Directorio, Transporte, Almacenamiento Y Com",126012,True,True,False,
occupation_type_employee_127001,"Director De Empresas, De Servicios Publicos Y Financieros",127001,True,True,False,
occupation_type_employee_127002,"Director Ejecutivo, Empresa, De Servicios Publicos Y Financ",127002,True,True,False,
occupation_type_employee_127003,"Director General, Empresa/Actividades Culturales",127003,True,True,False,
occupation_type_employee_127004,"Director General, Empresa/Actividades Deportivas",127004,True,True,False,
occupation_type_employee_127005,"Director General, Empresa/Actividades Recreativas",127005,True,True,False,
occupation_type_employee_127006,"Director General, Empresa/Agencia De Viajes",127006,True,True,False,
occupation_type_employee_127007,"Director General, Empresa/Intermediacion Financiera",127007,True,True,False,
occupation_type_employee_127008,"Director General, Empresa/Limpieza",127008,True,True,False,
occupation_type_employee_127009,"Director General, Empresa/Servicio De Empresa",127009,True,True,False,
occupation_type_employee_127010,"Director General, Empresa/Servicio De Sanidad",127010,True,True,False,
occupation_type_employee_127011,"Director General, Empresa/Trabajo Social",127011,True,True,False,
occupation_type_employee_127012,"Director General, Organizacion/Actividades Culturales",127012,True,True,False,
occupation_type_employee_127013,"Director General, Organizacion/Actividades Deportivas",127013,True,True,False,
occupation_type_employee_127014,"Director General, Organizacion/Actividades Recreativas",127014,True,True,False,
occupation_type_employee_127015,"Director General, Organizacion/Agencia De Viajes",127015,True,True,False,
occupation_type_employee_127016,"Director General, Organizacion/Intermediacion Financiera",127016,True,True,False,
occupation_type_employee_127017,"Director General, Organizacion/Limpieza",127017,True,True,False,
occupation_type_employee_127018,"Director General, Organizacion/Servicio De Empresa",127018,True,True,False,
occupation_type_employee_127019,"Director General, Organizacion/Servicio De Sanidad",127019,True,True,False,
occupation_type_employee_127020,"Director General, Organizacion/Trabajo Social",127020,True,True,False,
occupation_type_employee_127021,"Gerente General, Empresa/Actividades Culturales",127021,True,True,False,
occupation_type_employee_127022,"Gerente General, Empresa/Actividades Deportivas",127022,True,True,False,
occupation_type_employee_127023,"Gerente General, Empresa/Actividades Recreativas",127023,True,True,False,
occupation_type_employee_127024,"Gerente General, Empresa/Agencia De Viajes",127024,True,True,False,
occupation_type_employee_127025,"Gerente General, Empresa/Intermediacion Financiera",127025,True,True,False,
occupation_type_employee_127026,"Gerente General, Empresa/Limpieza",127026,True,True,False,
occupation_type_employee_127027,"Gerente General, Empresa/Servicio De Empresa",127027,True,True,False,
occupation_type_employee_127028,"Gerente General, Empresa/Servicio De Sanidad",127028,True,True,False,
occupation_type_employee_127029,"Gerente General, Empresa/Trabajo Social",127029,True,True,False,
occupation_type_employee_127030,"Gerente General, Organizacion/Actividades Culturales",127030,True,True,False,
occupation_type_employee_127031,"Gerente General, Organizacion/Actividades Deportivas",127031,True,True,False,
occupation_type_employee_127032,"Gerente General, Organizacion/Actividades Recreativas",127032,True,True,False,
occupation_type_employee_127033,"Gerente General, Organizacion/Agencia De Viajes",127033,True,True,False,
occupation_type_employee_127034,"Gerente General, Organizacion/Intermediacion Financiera",127034,True,True,False,
occupation_type_employee_127035,"Gerente General, Organizacion/Limpieza",127035,True,True,False,
occupation_type_employee_127036,"Gerente General, Organizacion/Servicio De Empresa",127036,True,True,False,
occupation_type_employee_127037,"Gerente General, Organizacion/Servicio De Sanidad",127037,True,True,False,
occupation_type_employee_127038,"Gerente General, Organizacion/Trabajo Social",127038,True,True,False,
occupation_type_employee_127040,"Presidente Del Directorio, Servicios Publicos Y Financieros",127040,True,True,False,
occupation_type_employee_129004,Gerente De Planta,129004,True,True,False,
occupation_type_employee_129005,Gerente De Produccion,129005,True,True,False,
occupation_type_employee_129006,Gerente Industrial,129006,True,True,False,
occupation_type_employee_136001,Decano,136001,True,True,False,
occupation_type_employee_136002,Decano De Facultad,136002,True,True,False,
occupation_type_employee_136003,Director De Centro Educativo,136003,True,True,False,
occupation_type_employee_136004,Director De Escuela Profesional,136004,True,True,False,
